0,Zucchini with Dill Weed and Garlic-Yogurt Sauce 
1,Homemade Manti (Traditional Turkish Dumplings)
2,Turkish Red Lentil Soup with Mint
3,Turkish Fish Stew
4,Carrots and Lentils
5,Soldier Buttons
6,Ekmek Turkish Bread
7,Chicken Tava from Turkey
8,Bazlama - Turkish Flat Bread
9,Lahmacun Turkish Pizza
10,Turkish Style Eggs
11,Turkish Halwa
12,Pogaca (Feta Dumplings)
13,Tava or Turkish Stew
14,Veggie Bulgur Salad (Kisir)
15,Muhammara (Roasted Pepper & Walnut Spread)
16,Turkish Kebabs
17,Manti (Turkish 'Ravioli' with Yogurt Sauce)
18,Turkish Red Lentil 'Bride' Soup
19,Zucchini Salad with Yogurt and Walnuts
20,Iskender Kebab
21,Turkish Chicken Kebabs
